"Supplier Name","Supplier Account","Currency","Settlement Date","Reference","ID","Issue Date","Due Date","Type","Counterparty Name","Discount ID","Activity Type","Remit Type","Remit No","Remit Date","Pay Date","Invoice Tenor","Net Amount","Gross Amount","Adj Amount","Disc Amount","PO No","Doc No","Comment","Adj Code","Add. Info.","Base Rate(%)","Spread Rate(%)","Discount Rate(%)","Discount Tenor","CM Adjusted","CM Adjusted Net Amount","Fee","Charge","Proceeds","Add. Info."
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","KK021C200329","2020-03-29","2020-06-29","92","2112.88","2112.88","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","2112.88","0.00","10.42","2102.46",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","MS812M200329","2020-03-29","2020-06-29","92","1748.04","1748.04","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","1748.04","0.00","8.62","1739.42",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RK0077200405","2020-04-05","2020-07-06","92","1768.68","1768.68","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1768.68","0.00","9.48","1759.20",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RP6150200405","2020-04-05","2020-07-06","92","1019.99","1019.99","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1019.99","0.00","5.47","1014.52",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RJ5763200405","2020-04-05","2020-07-06","92","2197.65","2197.65","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","2197.65","0.00","11.78","2185.87",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RJ8631200405","2020-04-05","2020-07-06","92","1654.14","1654.14","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1654.14","0.00","8.87","1645.27",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RL3857200405","2020-04-05","2020-07-06","92","1811.60","1811.60","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1811.60","0.00","9.71","1801.89",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RL5723200405","2020-04-05","2020-07-06","92","1708.11","1708.11","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1708.11","0.00","9.16","1698.95",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RP6626200405","2020-04-05","2020-07-06","92","1806.22","1806.22","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1806.22","0.00","9.69","1796.53",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RR260Q200405","2020-04-05","2020-07-06","92","1851.20","1851.20","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1851.20","0.00","9.93","1841.27",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RT7332200405","2020-04-05","2020-07-06","92","1828.78","1828.78","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1828.78","0.00","9.81","1818.97",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RR767M200405","2020-04-05","2020-07-06","92","1154.79","1154.79","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1154.79","0.00","6.19","1148.60",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RS536S200405","2020-04-05","2020-07-06","92","1392.40","1392.40","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1392.40","0.00","7.47","1384.93",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RT3782200405","2020-04-05","2020-07-06","92","1351.02","1351.02","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1351.02","0.00","7.24","1343.78",""
